Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2010-09-29,36.35799789428711,36.960339641344625,35.83931692955382,35.83931692955382,11684464
2010-09-30,35.63852310180664,36.7428155395339,35.5214003169789,36.40818160503361,5236368
2010-10-01,36.307796478271484,36.55877196721672,35.77238119410221,35.77238119410221,3875195
2010-10-04,36.709354400634766,36.97706202517281,36.0902829301087,36.558769571013926,4550532
2010-10-05,37.445560455322266,37.679806118905866,36.67590391285908,36.70936595809779,10282420
2010-10-06,37.39537048339844,38.031174378071704,37.12766274428972,37.64634606330359,5975746
2010-10-07,36.55877685546875,37.61287314222852,36.27433702221242,37.395361930478806,5825104
2010-10-08,36.64242172241211,37.04398195505513,36.357981995041705,36.64242172241211,2872678
2010-10-11,36.77628707885742,37.39536092548019,36.642434378206,37.34516673008145,2923343
2010-10-12,36.625709533691406,36.859952941276966,36.207416923937664,36.80975873585958,1328063
2010-10-13,36.759552001953125,37.14438016401534,36.57550286251307,36.74281984938914,2785869
2010-10-14,35.78911590576172,37.077457748868675,35.4712140509144,36.943602783566256,6206210
2010-10-15,35.72218704223633,36.29106436391033,35.370820903461166,35.805845538640796,3825540
2010-10-18,35.72218704223633,36.3747228603148,35.40428294039378,36.274332210753045,2661071
2010-10-19,35.25370788574219,35.97317251614402,35.06965868869137,35.87278183871788,2506333
2010-10-20,34.8856086730957,35.55487677085237,34.71829164865654,35.40428963335121,1611212
2010-10-21,35.33736038208008,35.80584937375345,35.20350768124894,35.571603743225666,5077785
2010-10-22,35.77238082885742,36.408186755989455,35.370820504521475,35.789112981825994,7613777
2010-10-25,34.71828842163086,36.10701868764208,34.584433452891766,35.83931328892823,4373958
2010-10-26,34.19960021972656,34.93579449688117,34.06574527063728,34.801941817173734,3559839
2010-10-27,34.08247375488281,34.55096262220229,33.99881527172379,34.4171076875189,4326267
2010-10-28,33.44667434692383,34.36691777602838,33.19569886625895,34.36691777602838,12789477
2010-10-29,33.597267150878906,34.13268254438649,33.463414437193215,33.49687648092343,2557085
2010-11-01,33.68092346191406,34.0322896490915,33.56380064306082,33.731117658918436,3644082
2010-11-02,33.49687194824219,33.61399475890532,32.81087177731978,33.463409909039946,8722079
2010-11-03,33.613983154296875,33.664177330462685,33.14549434276358,33.463398356418125,5792586
2010-11-04,33.96535873413086,34.919064234780684,33.463407753984015,33.7311131278901,7578044
2010-11-08,32.911251068115234,33.262617109381736,32.225251134096126,32.54315287833484,23828591
2010-11-09,34.73501205444336,35.13657461899411,32.92798959149204,33.02838023262973,37552410
2010-11-10,34.1326904296875,35.220251355123835,34.0155675761181,34.80195869149448,23142609
2010-11-11,33.88169860839844,34.70155138267647,33.73111150608908,34.13267408640488,9305659
2010-11-12,33.31282043457031,34.115943359374924,33.128771289132885,33.74784506850007,8655373
2010-11-15,33.86497116088867,34.400384226725556,33.46341079416546,33.46341079416546,6781511
2010-11-16,33.51359558105469,34.04901076597205,33.42993710024769,34.04901076597205,5839719
2010-11-18,33.93189239501953,34.21633217448289,33.27935661379503,33.83150175112765,11698558
2010-11-19,34.099212646484375,34.5509694526038,33.563797340667435,33.630725955931084,13151040
2010-11-22,33.94862747192383,34.0992123160437,33.02838398416879,33.79804262780395,16159489
2010-11-23,32.944732666015625,33.59726864568515,32.45951145120616,33.16224390277796,29650997
2010-11-24,32.49296951293945,32.87779770988895,32.12487120068874,32.292188202733236,29495589
2010-11-25,32.30892562866211,32.54316901586948,31.22136493791561,31.79024238381421,297127250
2010-11-26,32.275455474853516,32.375843851731226,31.271553551021405,32.041209877120515,108003635
2010-11-29,31.405405044555664,32.12486715498743,31.120965269148616,32.041208664500864,47311917
2010-11-30,31.773508071899414,31.823702265960538,30.719409572176623,31.15443424177418,56380039
2010-12-01,32.409305572509766,32.5431582439274,31.58945285396794,31.65637918967676,49377032
2010-12-02,33.1287727355957,33.16223704327524,32.30891989126756,32.593359698397464,69791050
2010-12-03,33.396484375,33.58053355044096,32.54316712114267,33.12877668975699,70133580
2010-12-06,33.363014221191406,33.563793234271714,33.06184229749829,33.46340486242244,35990183
2010-12-07,33.11204528808594,33.29609218572254,32.827605460022106,33.11204528808594,22324627
2010-12-08,32.74393844604492,33.045108081543496,32.5598893268484,32.861061231728605,8690959
2010-12-09,31.991029739379883,32.87780925382565,31.79024835867603,32.727224352989204,19659317
2010-12-10,32.15834426879883,32.275467109887124,31.656393125933622,31.92410085600494,12656908
2010-12-13,32.76067352294922,32.87779404971247,32.108137741496776,32.158331928769336,10228525
2010-12-14,32.47623825073242,32.96145711611029,32.37584759287235,32.794140109470874,12502825
2010-12-15,32.34239196777344,32.55990321179171,32.20853697428461,32.459512534020746,7532899
2010-12-16,32.15834426879883,32.375855522954005,31.907368697366227,32.35912563369799,10117565
2010-12-20,32.074676513671875,32.492969012338705,31.95755370629234,32.041212206025705,12117884
2010-12-21,32.50969696044922,32.8275987644333,32.091404515896016,32.12486654983122,13693395
2010-12-22,32.77741241455078,32.89453296539526,32.509704732162646,32.593363241072545,11598882
2010-12-23,32.54317092895508,32.82761080331671,32.49297672495365,32.64356160634051,4611659
2010-12-24,32.71049118041992,32.79414970822624,32.292198541388316,32.292198541388316,4676656
2010-12-27,32.35912322998047,32.72721934577555,32.24200039759235,32.62682867078325,5508784
2010-12-28,32.17506790161133,32.44277556074483,32.09140939996849,32.29218844228204,6071879
2010-12-29,32.02448654174805,32.29219196066721,31.957557917635913,32.141607095179594,10314957
2010-12-30,32.32565689086914,32.64355878395147,31.67312094835649,32.0244871541348,31947999
2010-12-31,32.894527435302734,32.961453777302815,32.37584431338378,32.42604077192028,12208677
2011-01-03,32.894527435302734,33.045112272148394,32.74394259845708,32.94472389383923,5686478
2011-01-04,32.9279899597168,33.09530694035675,32.710476523255785,32.94472211165715,9878712
2011-01-05,32.827606201171875,33.07858172475958,32.69375349634467,32.92799686448341,6557909
2011-01-06,33.1287727355957,33.37975050442813,32.72721239035152,32.86106735168761,16916733
2011-01-07,32.74393844604492,33.429938470660154,32.50969514405918,33.12876656577995,15775814
2011-01-10,32.17506790161133,32.99492076383473,32.10814155417348,32.72721310470122,11747099
2011-01-11,32.141605377197266,32.794141272353514,31.85716781745338,32.392580896055996,8402847
2011-01-12,32.54317092895508,32.610099560133754,31.957561291819726,32.359124001361465,5356220
2011-01-13,32.3758430480957,32.61008864001424,32.275454673709845,32.526430148438145,5840003
2011-01-14,32.660282135009766,33.178965225665046,32.20852538232057,32.29218387212362,13619178
2011-01-17,32.71049118041992,32.79414970822624,32.007760908476506,32.292198541388316,10222664
2011-01-18,33.01165008544922,33.09530857991367,32.526431271431754,32.526431271431754,8525103
2011-01-19,32.76067352294922,33.12876952483894,32.59335653953158,32.743941370731086,8181638
2011-01-20,33.09531021118164,33.12877224898763,32.45950426028376,32.45950426028376,8113388
2011-01-21,33.078575134277344,33.12876932124143,32.7606733216139,32.87779384765737,7263505
2011-01-24,32.97819137573242,33.21243474610352,32.760680160969756,32.84433866962959,10580288
2011-01-25,32.9279899597168,33.279356072937055,32.810867165516115,33.12876897485567,5774233
2011-01-27,33.06184387207031,33.296087199844074,31.171162827932644,32.89452688517735,21308494
2011-01-28,32.30892562866211,33.06185226071737,31.85717101105842,32.961461589233515,12161301
2011-01-31,32.30892562866211,32.92799954499387,31.85717101105842,32.07468224145474,10372393
2011-02-01,32.007755279541016,32.660291227797735,31.957558810055172,32.459509888619166,5685819
2011-02-02,31.974287033081055,32.292188889853556,31.5727266735062,32.141604038685756,9759510
2011-02-03,33.01165008544922,33.11204073268294,31.806966857408288,31.95755169356793,8272335
2011-02-04,32.55989456176758,33.530334496564926,32.50970037090823,32.94472501275656,13585721
2011-02-07,32.727210998535156,32.96145433418391,32.29218636411207,32.576626159145384,10075695
2011-02-08,32.02448654174805,33.128777068245455,31.940828030990225,33.128777068245455,6969251
2011-02-09,32.09141159057617,32.52643628269079,31.70658109512075,32.45950766130219,15914271
2011-02-10,31.924089431762695,32.543160924794755,31.80696663258755,32.007747925635826,15041071
2011-02-11,32.42869567871094,32.79873120007827,32.2100361475336,32.4623340271956,16032113
2011-02-14,33.151947021484375,33.387424574398054,32.31095413155036,32.47915270953716,9448315
2011-02-15,33.2192268371582,33.38742541940195,32.89964998716294,33.13512754603633,6653191
2011-02-16,33.16875076293945,33.236029704250726,33.03419288031692,33.11829212729052,3070813
2011-02-17,33.16875076293945,33.28649062123774,33.051010904641174,33.16875076293945,2410838
2011-02-18,33.00056076049805,33.303317214971266,32.69780430602483,33.16875929772509,7982842
2011-02-21,33.2864990234375,33.303317052006975,32.64734321629913,32.64734321629913,9078739
2011-02-22,33.118309020996094,33.26968728649928,32.899649498523274,33.135127053899254,6311548
2011-02-23,33.50516128540039,33.72382078466314,33.135123536702814,33.135123536702814,28541975
2011-02-24,33.051025390625,33.639722658799336,32.59689062672697,33.47152180979304,14267832
2011-02-25,33.370601654052734,33.58925886087431,32.44550961061872,33.15194216589227,31955636
2011-02-28,33.2864990234375,35.11986261397332,32.86600268242751,33.740633702925095,128195783
2011-03-01,33.47151565551758,33.6733548121425,32.96692004529394,33.47151565551758,22095525
2011-03-03,33.404232025146484,33.9424681799757,33.15193425532123,33.15193425532123,12055696
2011-03-04,33.303321838378906,33.6229009285475,33.18558421477798,33.40424143099325,5797710
2011-03-07,32.98374938964844,33.269687892963944,32.327775372950896,33.269687892963944,6845096
2011-03-08,32.95009994506836,33.26967668851667,32.19320657731993,32.96691797261418,8299919
2011-03-09,32.98374938964844,33.135127657911056,32.83237112138582,32.966929075099415,4984092
2011-03-10,33.10147476196289,33.269673270850824,32.731437129874124,32.966914586049576,4963678
